absolute humidity,The mass of water vapor in a given volume of air. It represents the density of water vapor in the air.
absolute zero,"A temperature of -273_C, -460_F, or 0_K. Theoretically, there is no molecular motion at this temperature."
absolutely stable,"Stable conditions, such as during a clear and calm night, will cause pollutants to become trapped near ground level.[9] Drizzle occurs within a moist air mass when it is stable. Air within a stable layer is not turbulent."
absolutely stable atmosphere,"Stable conditions, such as during a clear and calm night, will cause pollutants to become trapped near ground level.[9] Drizzle occurs within a moist air mass when it is stable. Air within a stable layer is not turbulent."
absolutely unstable,"The state of a column of air in the atmosphere when it has a superadiabatic lapse rate of temperature (i.e., greater than the dry-adiabatic lapse rate)."
absolutely unstable atmosphere,"The state of a column of air in the atmosphere when it has a superadiabatic lapse rate of temperature (i.e., greater than the dry-adiabatic lapse rate)."
absorptivity,The efficiency of radiation absorption.
acclimatization,"The gradual adjustment of the body to new climatic or other environmental conditions, for example, the adjustment to low levels of oxygen at high altitudes."
accretion,The growth of a precipitation particle by the collision of an ice crystal or snowflake with a supercooled liquid droplet that freezes upon impact.
acid fog,Fog formed in an enviroment rich in sulfur and/or nirtogen oxidesleading to acidivication.
acid rain,"Acid rain_is a_rain_or any other form of_precipitation_that is unusually_acidic, meaning that it possesses elevated levels of hydrogen ions (low_pH). It can have harmful effects on plants, aquatic animals and infrastructure. Acid rain is caused by emissions of_sulfur dioxide_and_nitrogen oxide, which react with the_water molecules_in the_atmosphere_to produce acids"
actual vapor pressure,The pressure exerted by the water vapor molecules in a given volume of air.
adiabatic process,"A process that takes place without a transfer of heat between the system (such as an air parcel) and its surroundings. In an adiabatic process compression always results in warming, and expansion results in cooling."
advection,The horizontal transfer of any atmospheric property by the wind.
advection fog,"Occurs when warm, moist air moves over a cold surface and the air cools to below its dew point."
aerosols,"An aerosol is a colloid of fine solid particles or liquid droplets, in air or another gas. Aerosols can be natural or artificial. Examples of natural aerosols are fog, forest exudates and geyser steam. Examples of artificial aerosols are haze, dust, particulate air pollutants and smoke.[1] The liquid or solid particles have diameter mostly smaller than 1 &micro;m or so;"
aerovane,A device that resembles a wind vane with a propeller at one end. Used to indicate wind speed and direction.
air density,Mass per unit volume of air; about 1.275 km per cubic meter at 0_C and 1000 millibars.
air mass,A large expanse of air having similar temperature and humidity at any given height.
air mass thunderstorm,
air parcel,"A very small amount of air, identifiable throughout its dynamic history while moving within the atmosphere."
air pressure,The cumulative force exerted on any surface by the molecules composing air.
albedo,The percent of radiation returning from a surface compared to that which strikes it.
Aleutian low,
altimeter,An instrument that indicates the altitude of an object above a fixed level. Pressure altimeters use an aneroid barometer with a scale graduated in altitude instead of pressure.
altocumulus,"A middle cloud, usually white or gray. Often occurs in layers or patches with wavy, rounded masses or rolls."
altocumulus clouds,"A middle cloud, usually white or gray. Often occurs in layers or patches with wavy, rounded masses or rolls."
altostratus,"A middle cloud composed of gray or bluish sheets or layers of uniform appearance. In the thinner regions, the sun or moon usually appears dimly visible."
altostratus clouds,"A middle cloud composed of gray or bluish sheets or layers of uniform appearance. In the thinner regions, the sun or moon usually appears dimly visible."
ambient air,"The air surrounding a cloud, or the air surrounding rising or sinking air parcels."
ambient temperature,Temperature of the surrounding (ambient) air.
analogue forecasting method,
analysis,
anemometer,An instrument designed to measure wind speed.
aneroid barometer,An instrument designed to measure atmospheric pressure. It contains no liquid.
annual range of temperature,The difference between the warmest and coldest months at any given location.
anomalies,"Departures of temperature, precipitation, or other weather elements from long-term averages."
anticyclone,"An atmospheric anticyclonic circulation, a closed circulation. The wind in an anticyclone is in the clockwise direction in the Northern Hemisphere and counterclockwise in the Southern Hemisphere."
apparent temperature,"The temperature equivalent perceived by humans, caused by the combined effects of air temperature, relative humidity and wind speed."
arctic air,A very cold and dry air mass that forms primarily in winter and the northern interior of North America.
Arctic Oscillation,
atmospheric models,
atmospheric window,A region of the electromagnetic spectrum from 8 to 12 µm where the atmosphere is transparent to radiation.
autumnal equinox,The equinox at which the sun approaches the Southern Hemisphere and passes directly over the equator. Occurs around September 23.
avalanche,A mass of snow (perhaps containing ice and rocks) moving rapidly down a steep mountain slope.
AWIPS,
back door cold front,
ball lightning,
banner cloud,"Formed downwind of the upper slopes of isolated, steep-sided mountains. It is created by the low pressure areas in the downwind vortices drawing in relatively humid air from the lower slopes of the mountain."
barograph,A recording instrument that provides a continuous trace of air pressure variation with time.
barometer,An instrument that measures atmospheric pressure. The two most common barometers are the mercury barometer and the aneroid barometer.
bead lightning,
Beaufort,A scale of wind strength based on visual assessment of the effects of wind on seas and vegetation.
beaufort scale,
Beaufort wind scale,
Bergeron,"(Commonly called the ice process of precipitation, and formerly, ice- crystal theory; also Bergeron_Findeisen_Wegener process or theory, and with the names in a different order.) A theoretical explanation of the process by which precipitation particles may form within a mixed cloud (composed of both ice crystals and liquid water drops)."
Bermuda high,
black blizzards,
black body,A hypothetical object that absorbs all of the radiation that strikes it. It also emits radiation at a maximum rate for its given temperature.
black ice,"Thin, new ice on freshwater or saltwater, appearing dark in color because of its transparency, which is a result of its columnar grain structure."
blackbody,"A black body is an idealized physical body that absorbs all incident electromagnetic radiation, regardless of frequency or angle of incidence."
blizzard,"A severe weather condition characterized by low temperatures and strong winds (greater than 32 mi/hr) bearing a great amount of snow. When these conditions continue after the falling snow has ended, it is termed a ground blizzard."
bora,A cold katabatic wind that originates in Yugoslavia and flows onto the coastal plain of the Adriatic Sea.
bow echo,
bowen ratio,The ratio of energy available for sensible heating to energy available for latent heating.
boyle's law,"When the temperature is held constant, the pressure and density of an ideal gas are directly proportional."
carbon dioxide,Carbon dioxide (chemical formula CO2) is a colorless and odorless gas vital to life on Earth. This naturally occurring chemical compound is composed of a carbon atom covalently double bonded to two oxygen atoms. Carbon dioxide exists in Earth's atmosphere as a trace gas at a concentration of about 0.04 percent (400 ppm) by volume
castellanus,"An altocumulus showing vertical development, individual cloud elements have towerlike tops, often in the shape of tiny castles."
ccl,The level above the surface marking the base of a cumiliform cloud that is forming due to surface heating and rising thermals.
ceilometer,An instrument that automatically records cloud height.
Celsius,"Celsius temperature scale, also called centigrade temperature scale, scale based on 0� for the freezing point of water and 100� for the boiling point of water. This scale is widely taught in schools today, by international agreement the unit ""degree Celsius"" and the Celsius scale are currently defined by two different temperatures: absolute zero, and the triple point of VSMOW (specially purified water)."
centrifugal force,"A force directed outward, away from the center of a rotating object; equal in magnitude to the centripetal force but in the opposite direction."
centripetal force,An inward-directed force that confines an object to a circular path; equal in magnitude to the centrifugal force but in the opposite direction.
chaos,
charles's law,"With constant pressure, the temperature of an ideal gas is inversely proportional to the density of the gas."
chinook,"A warm, dry wind on the eastern side of the Rocky Mountains. In the Alps, the wind is called a Foehn."
chinook wind,
cirrocumulus,"One of the three main genus-types of high-altitude tropospheric clouds, the other two being cirrus and cirrostratus.[3] They usually occur at an altitude of 5 kilometres (16,000 ft) to 12 kilometres (39,000 ft)."
cirrocumulus clouds,"One of the three main genus-types of high-altitude tropospheric clouds, the other two being cirrus and cirrostratus.[3] They usually occur at an altitude of 5 kilometres (16,000 ft) to 12 kilometres (39,000 ft)."
cirrostratus,A high cloud appearing as a whitish veil that may totally cover the sky. Often produces halo phenomena.
cirrostratus clouds,A high cloud appearing as a whitish veil that may totally cover the sky. Often produces halo phenomena.
cirrus,"A high cloud composed of ice crystals in the form of thin, white, featherlike clouds in patches, filaments, or narrow bands."
cirrus clouds,"A high cloud composed of ice crystals in the form of thin, white, featherlike clouds in patches, filaments, or narrow bands."
climate,The accumulation of daily and seasonal weather events over a long period of time. A description of aggregate weather conditions; the sum of all statistical weather information that helps describe a place or region.
climatological forecast,
cloud base,The lowest portion of a cloud.
cloud cover,The amount of the sky obscured by clouds when observed at a particular location.
cloud deck,"The top of a cloud layer, usually viewed from an aircraft."
cloud seeding,The introduction of artificial substances (usually silver iodide or dry ice) into a cloud for the purpose of either modifying its development or increasing its precipitation.
cloudburst,Any sudden and heavy rain shower.
coalescence,The merging of cloud droplets into a single larger droplet.
cold advection,
cold air damming,
cold front,The leading edge of a cold air mass.
cold occlusion,
cold-air funnels,
collision coalescence,"In cloud physics, the process producing precipitation by collision and coalescence between liquid particles (cloud droplets, drizzle drops, and raindrops)."
collision-coalescence process,"In cloud physics, the process producing precipitation by collision and coalescence between liquid particles (cloud droplets, drizzle drops, and raindrops)."
comma cloud,
condensation,Process by which water changes phase from a vapor to a liquid.
condensation level,The level at which a parcel of moist air lifted dry-adiabatically would become saturated.
condensation nuclei,"Small particles in the atmosphere that serve as the core of tiny condensing cloud droplets. These may be dust, salt, or other material."
conditionally unstable,The state of a layer of unsaturated air when its lapse rate of temperature is less than the dry-adiabatic lapse rate but greater than the moist-adiabatic lapse rate.
conditionally unstable atmosphere,The state of a layer of unsaturated air when its lapse rate of temperature is less than the dry-adiabatic lapse rate but greater than the moist-adiabatic lapse rate.
conduction,"The transfer of heat by molecular activity from one substance to another, or through a substance. Transfer is always from warmer to colder regions."
continental air mass,An air mass that forms over land; it is normally relatively dry.
continental arctic,
continental climate,"A climate lacking marine influence and characterized by more extreme temperatures than in marine climates: therefore, it has a relatively high annual temperature range for its latitude."
continental polar,Relatively dry air mass that develops over the northern interior of North America; very cold in winter and mild in summer.
continental tropical,"Warm, dry air mass that forms over the subtropical deserts of the south-western United States."
contour lines,"A line of constant elevation above a certain reference level (usually mean sea level) on a previously defined surface, which may be the earth's surface, a constant-pressure surface, an isentropic surface, etc"
contrail,"A cloudlike streamer frequently seen forming behind aircraft flying in clear, cold, humid air."
controls of temperature,
convection,"Motions in a fluid that result in the transport and mixing of the fluid's properties. In meteorology, convection usually refers to atmospheric motions that are predominantly vertical, such as rising air currents due to surface heating. The rising of heated surface air and the sinking of cooler air aloft is often called free convection. (Compare with forced convection.)"
convective condensation level,The level above the surface marking the base of a cumiliform cloud that is forming due to surface heating and rising thermals.
convective instability,An instability due to the buoyancy force of heavy fluid over light fluid overcoming the stabilizing influence of viscous forces.
convergence,An atmospheric condition that exists when the winds cause a horizontal net inflow of air into a specified region.
conveyor belt,
cooling degree-day,A form of degree-day used in estimating the amount of energy necessary to reduce the effective temperature of warm air. A cooling degree-day is a day on which the average temperature is one degree above a desired base temperature.
Coriolis,"A deflective force arising from the rotation of the earth on its axis; affects principally synoptic-scale and global-scale winds. Winds are deflected to the right of the initial direction in the Northern Hemisphere, and to the left in the Southern Hemisphere."
coriolis effect,
Coriolis force,"A deflective force arising from the rotation of the earth on its axis; affects principally synoptic-scale and global-scale winds. Winds are deflected to the right of the initial direction in the Northern Hemisphere, and to the left in the Southern Hemisphere."
crepuscular rays,"Alternating light and dark bands of light that appear to fan out from the sun's position, usually at twilight."
cumulonimbus,"An exceptionally dense and vertically developed cloud, often with a top in the shape of an anvil. The cloud is frequently accompanied by heavy showers, lightning, thunder, and sometimes hail. It is also known as a thunderstorm cloud."
cumulonimbus clouds,"An exceptionally dense and vertically developed cloud, often with a top in the shape of an anvil. The cloud is frequently accompanied by heavy showers, lightning, thunder, and sometimes hail. It is also known as a thunderstorm cloud."
cumulus,"A cloud in the form of individual, detached domes or towers that are usually dense and well defined. It has a flat base with a bulging upper part that often resembles cauliflower. Cumulus clouds of fair weather are called cumulus humilis. Those that exhibit much vertical growth are called cumulus congestur or towering cumulus."
cumulus clouds,"A cloud in the form of individual, detached domes or towers that are usually dense and well defined. It has a flat base with a bulging upper part that often resembles cauliflower. Cumulus clouds of fair weather are called cumulus humilis. Those that exhibit much vertical growth are called cumulus congestur or towering cumulus."
cumulus congestus,An upward building convective cloud with vertical development between that of a cumulus cloud and a cumulonimbus.
cumulus stage,
cup anemometer,An instrument used to monitor wind-speed. Wind rotation of cups generates and electric current calibrated in wind speed.
cut-off low,Cyclonic circulation system that separates from the prevailing westerly airflow and therefore remains stationary.
cutoff high,Anticyclonic circulation system that separates from the prevailing westerly airflow and therefore remains stationary.
cutoff low,
cyclogenesis,
daily range of temperature,The difference between the maximum and minimum temperatures for any given day.
dart leader,
degree days,Computed from each day's mean temperature (max+min/2). For each degree that a day's mean temperature is below or above a reference temperature is counted as one degree day.
dendrochronology,
density,The ratio of the mass of a substance to the volume occupied by it.
deposition,A process that occurs in subfreezing air when water vapor changes directly to ice without becoming a liquid first. (Also called sublimation in meteorology.)
deposition nuclei,Tiny particles in the atmosphere that serve as the core of tiny ice crystals as water vapor changes to the solid form. These are also called ice nuclei.
derecho,
desert,One of two types of dry climate-the driest of the dry climates.
desertification,
dew,Water that has condensed onto objects near the ground when their temperatures have fallen below the dew point of the surface air.
dew point,The temperature to which air must be cooled (at constant pressure and constant water vapor content) for saturation to occur. When the dew point falls below freezing it is called the frost point.
dew-point temperature,The temperature to which air must be cooled (at constant pressure and constant water vapor content) for saturation to occur. When the dew point falls below freezing it is called the frost point.
diffraction,"The bendig of light around objects, such as cloud and fog droplets, producing fringes of light and dark or colored bands."
diffuse insolation,"Solar radiation that is scattered or reflected by atmospheric components (clouds, for example) to the earth's surface."
direct insolation,Solar radiation that is transmitted directly through the atmosphere to the earth's surface without interacting with atmospheric components.
dissipating stage,
diurnal range of temperature,
divergence,An atmospheric condition that exists when the winds cause a horizontal net outflow of air from a specific region.
doldrums,
Doppler radar,
downburst,A severe localized downdraft that can be experienced beneath a severe thunderstorm. (Compare Microburst)
downbursts,
downdraft,"Downward moving air, usually within a thunderstorm cell."
drainage basin,A fixed geographical region from which a river and its tributaries drain water.
drizzle,Small drops between 0.2 and 0.5 mm in diameter that fall slowly and reduce visibility more than light rain.
drought,A period of abnormally dry weather sufficiently long enough to cause serious effects on agriculture and other activities in the affected area.
dry adiabatic,The rate of change of temperature in a rising or descending unsaturated air parcel. The rate of adiabatic cooling or warming is 10_C per 1000 m (5.5_F per 1000 ft).
dry adiabatic rate,The rate of change of temperature in a rising or descending unsaturated air parcel. The rate of adiabatic cooling or warming is 10_C per 1000 m (5.5_F per 1000 ft).
dry climate,A climate in which yearly precipitation is not as great as the potential loss of water by evaporation.
dry lightning,
dry slot,
dryline,
dust devil,"A small but rapidly rotating wind made visible by the dust, sand, and debris it picks up from the surface. It develops best on clear, dry, hot afternoons."
dust devils,
duststorms,
easterly wave,
eccentricity,
eddy,A small volume of air (or any fluid) that behaves differently from the larger flow in which it exists.
EF scale,
effective emissivity,
El Nino,
electromagnetic waves,"Electromagnetic radiation (EM radiation or EMR) is the radiant energy released by certain electromagnetic processes. Visible light is electromagnetic radiation, as is invisible light, such as radio, infrared, and X-rays."
emissivity,The fractional amount of radiation emitted by a given object or substance in comparison to the amount emitted by a perfect emitter.
emittance,The rate at which a black body radiates energy across all wave-lengths.
ensemble forecasting,
ENSO,
entrainment,The mixing of environmental air into a preexisting air current or cloud so that the environmental air becomes part of the current or cloud.
environmental lapse rate,The rate of decrease of temperature with elevation. It is most often measured with a radiosonde.
equilibrium vapor pressure,The necessary vapor pressure around liquid water that allows the water to remain in equilibrium with its environment. Also called saturation vapor pressure.
equinox,The time when the sun crosses the plane of the earth's equator occurring about March 21 and September 22.
evaporation,The process by which a liquid changes into a gas.
evaporation fog,"Fog produced when sufficient water vapor is added to the air by evaporation. The two common types are steam fog, which forms when cold air moves over warm water, and frontal fog, which forms as warm raindrops evaporate in a cool air mass."
evapotranspiration,Vaporization of water through direct evaporation from wet surfaces and the release of water vapor by vegetation.
evapotranspiraton,"The rate of water lost from vegetation and soil, ordinarily at a slower rate than the potential rate."
exosphere,The outermost portion of the atmosphere.
eye,
eyewall,
eyewall replacement,
Fahrenheit,"Fahrenheit is a temperature scale based on one proposed in 1724 by the Polish-born German physicist Daniel Gabriel Fahrenheit (1686_1736), after whom the scale is named. It uses the degree Fahrenheit (symbol �F) as the unit."
fall freeze date,The date of occurrence in the fall of the first minimum at or below a temperature threshold.
fall streaks,Falling ice crystals that evaporate before reaching the ground.
flash flood,"A flood that rises and falls quite rapidly with little or no advance warning, usually as the result of intense rainfall over a relatively small area."
flurries,"Common term for a light snow shower, lasting for only a short period of time."
foehn,"A warm, dry wind in the Alps. "
fog,A cloud with its base at the earth's surface. It reduces visibility to below 1 km.
forced convection,"On a small scale, a form of mechanical stirring taking place when twisting eddies of air are able to mix."
forked lightning,
free convection,Convection triggered by intense solar heating of the earth's surface.
freeze,"A condition occurring over a widespread area when the surface air temperature remains below freezing for a sufficient time to damage certain agricultural crops. A freeze most often occurs as cold air is advected into a region, causing freezing conditions to exist in a deep layer of surface air. Also called advection frost."
freeze free season,The number of days between the last spring freeze date and the first fall freeze date.
freezing drizzle,Drizzle that falls in liquid form and then freezes upon striking a cold object or ground. Both can produce a coating of ice on objects which is called glaze.
freezing rain,Rain that falls in liquid form and then freezes upon striking a cold object or ground. Both can produce a coating of ice on objects which is called glaze.
friction layer,"An alternative, somewhat inappropriate, name for the atmospheric boundary layer."
front,The transition zone between two distinct air masses.
frontal fog,"Fog produced when sufficient water vapor is added to the air by evaporation. The two common types are steam fog, which forms when cold air moves over warm water, and frontal fog, which forms as warm raindrops evaporate in a cool air mass."
frontogenesis,
frontolysis,
fronts,"A weather front is a boundary separating two masses of air of different densities, and is the principal cause of meteorological phenomena. In surface weather analyses, fronts are depicted using various colored triangles and half-circles, depending on the type of front. The air masses separated by a front usually differ in temperature and humidity. "
frost,A covering of ice produced by deposition (sublimation) on exposed surfaces when the air temperature falls below the frost point (the dew point is below freezing).
frostbite,"Injury to body tissues caused by exposure to extreme cold, typically affecting the nose, fingers, or toes and sometimes resulting in gangrene."
frozen dew,The transformation of liquid dew into tiny beads of ice when the air temperature drops below freezing.
Fujita scale,
fulgurite,
funnel cloud,A rotating conelike cloud that extends down-ward from the base of a thunderstorm. When it reaches the surface it is called a tornado.
general circulation,"In its broadest sense, the complete statistical description of large scale atmospheric motions."
general circulation of the atmosphere,"In its broadest sense, the complete statistical description of large scale atmospheric motions."
geoengineering,
geostationary,"A geostationary orbit, geostationary Earth orbit or geosynchronous equatorial orbit[1] (GEO) is a circular orbit 35,786 kilometres (22,236 mi) above the Earth's equator and following the direction of the Earth's rotation.[2] An object in such an orbit has an orbital period equal to the Earth's rotational period (one sidereal day) and thus appears motionless, at a fixed position in the sky, to ground observers."
geostationary satellites,"A geosynchronous satellite is a satellite in geosynchronous orbit, with an orbital period the same as the Earth's rotation period. Such a satellite returns to the same position in the sky after each sidereal day, and over the course of a day traces out a path in the sky that is typically some form of analemma."
geostrophic,"Referring to the balance, in the atmosphere, between the horizontal Coriolis forces and the horizontal pressure forces."
geostrophic wind,"A theoretical horizontal wind blowing in a straight path, parallel to the isobars or contours, at a constant speed. The geostrophic wind results when the Coriolis force exactly balances the horizontal pressure gradient force."
glaciated cloud,A cloud or portion of a cloud where only ice crystals exist.
glaciation,"The conversion of all the supercooled liquid water in a cloud into ice crystals, thus reducing the growth rate of ice crystals and hail."
glaze,A coating of ice on objects formed when supercooled rain freezes on contact. A storm that produces glaze is called an icing storm.
global warming,
glory,Colored rings that appear around the shadow of an object.
gradient wind,"In weather, a wind determined by the condition that the horizontal pressure gradient due to the (hydrostatic) distribution of mass balances the Coriolis force due to the earth's rotation."
graupel,See Snow pellets
green flash,"A small, green color that occasionally appears on the upper part of the sun as it rises or sets."
greenhouse effect,The trapping of the sun's warmth in a planet's lower atmosphere due to the greater transparency of the atmosphere to visible radiation from the sun than to infrared radiation emitted from the planet's surface.
greenhouse feedback,
greenhouse gases,A greenhouse gas (sometimes abbreviated GHG) is a gas in an atmosphere that absorbs and emits radiation within the thermal infrared range.
ground fog,See Radiation fog.
growing degree-day,A form of the degree-day used as a guide for crop planting and for estimating crop maturity dates.
growing season,The number of days between the last spring freeze date and the first fall freeze date.
gust front,
gustnadoes,
haboob,A dust or sandstorm that forms as cold downdrafts from a thunderstorm turbulently lift dust and sand into the air.
Hadley cell,"A direct thermally driven and zonally symmetric circulation under the strong influence of the earth's rotation, first proposed by George Hadley in1735 as an explanation for the trade winds."
hail,Solid precipitation in the form of chunks or balls of ice with diameters greater than 5 mm. The stones fall from cumulonimbus clouds.
hailstone,Transparent or partially opaque particles of ice that range in size from that of a pea to that of golf balls.
hailstones,
hailstreak,"A single unit of hail, ranging in size from that of a pea to, on rare occasions, exceeding that of a grapefruit (i.e., from 5 mm to more than 15 cm in diameter)"
hair hygrometer,An instrument used to monitor relative humidity by measuring the changes in the length of human hair that accompany humidity variations.
halos,Rings or arcs that encircle the sun or moon when seen through an ice crystal cloud or a sky filled with falling ice crystals. Halos are produced by refraction of light.
haze,Fine dry or wet dust or salt particles dispersed through a portion of the atmosphere. Individually these are not visible but cumulatively they will diminish visibility.
heat,A form of energy transferred between systems by virtue of their temperature differences.
heat burst,
heat capacity,The ratio of the heat absorbed (or released) by a system to the corresponding temperature rise (or fall).
heat index,An index that combines air temperature and relative humidity to determine an apparent temperature-how hot it actually feels.
heat lightning,Distant lightning that illuminates the sky but is too far away for its thunder to be heard.
heat of fusion,Heat released when water changes phase from liquid to solid; 80 calories per gram
heat of melting,Heat required to change the phase of water from solid to liquid; 80 calories per gram.
heat wave,"A heat wave is a prolonged period of excessively hot weather, which may be accompanied by high humidity, especially in oceanic climate countries. While definitions vary,[1] a heat wave is measured relative to the usual weather in the area and relative to normal temperatures for the season. "
heating degree-day,A form of the degree-day used as an index for fuel consumption. Needed on days when average air temperature falls below 69 _F (18 _C); computed by subtracting the day's average temperature from 65 _F.
heatstroke,"Heat stroke, also known as sun stroke, is a severe heat illness, defined as hyperthermia with a body temperature greater than 40.6 �C (105.1 �F) because of environmental heat exposure with lack of thermoregulation."
heiligenschein,A faint white ring surrounding the shadow of an observer's head on a dew-covered lawn.
heterosphere,"The atmosphere above 80 km (50 mi) where gases are stratified, with concentrations of the heavier gases decreasing more rapidly with altitude than concentrations of the lighter gases."
HI,
high inversion fog,A fog that lifts above the surface but does not completely dissipate because of a strong inversion (usually subsidence) that exists above the fog layer.
highland climate,Complex pattern of climate conditions associated with mountains. Highland climates are characterized by large differences that occur over short distances.
hoarfrost,"Fernlike crystals of ice that form by deposition of water vapor on twigs, tree branches, and other vegetation."
Homobront,"1. A line drawn through geographical points at which a given phase of thunderstorm activity occurred simultaneously. 2. In climatology, a line drawn through geographical points that have the same average number of days with thunder in a given period; a type of isoceraunic line."
homosphere,"The atmosphere up to 80 km (50 mi) in which the proportionality of principal gaseous constituents, such as oxygen and nitrogen, is constant."
hook echo,
horse latitude,
humid continental climate,"A relatively severe climate characteristic of broad continents in the middle latitudes between approximately 40 and 50_ north latitude. This climate is not found in the southern hemisphere, where the middle latitudes are dominated by the oceans."
humid subtropical climate,"A climate generally located on the eastern side of a continent and characterized by hot, sultry summers and cool winters."
humidity,Humidity is the amount of water vapor in the air. Water vapor is the gaseous state of water and is invisible.
hurricane,A severe tropical cyclone having winds in excess of 64 knots (74 mi/hr).
hurricane warning,
hurricane watch,
hurricanes,"A tropical cyclone is a rapidly rotating storm system characterized by a low-pressure center, a closed low-level atmospheric circulation, strong winds, and a spiral arrangement of thunderstorms that produce heavy rain. Depending on its location and strength, a tropical cyclone is referred to by names such as hurricane, typhoon, tropical storm, cyclonic storm, tropical depression, and simply cyclone."
hydrograph,An instrument that provides a continuous trace of relative humidity with time.
hydrologic cycle,"The water cycle, also known as the hydrological cycle or the H2O cycle, describes the continuous movement of water on, above and below the surface of the Earth. The mass of water on Earth remains fairly constant over time but the partitioning of the water into the major reservoirs of ice, fresh water, saline water and atmospheric water is variable depending on a wide range of climatic variables. The water moves from one reservoir to another, such as from river to ocean, or from the ocean to the atmosphere, by the physical processes of evaporation, condensation, precipitation, infiltration, surface runoff, and subsurface flow. In doing so, the water goes through different phases: liquid, solid (ice) and vapor."
hygrometer,"An instrument designed to measure the air's water vapor content. The sensing part of the instrument can be hair (hair hygrometer), a plate coated with carbon (electrical hygrometer), or an infrared sensor (infrared hygrometer)."
hypothermia,The deterioration in one's mental and physical condition brought on by a rapid lowering of human body temperature.
Ice Age,
ice cap climate,"A climate that has no monthly means above freezing and supports no vegetative cover except in a few scattered high mountain areas. This climate, with its perpetual ice and snow, is confined largely to the ice sheets of Greenland and Antarctica."
ice fog,A type of fog composed of tiny suspended ice particles that forms at very low temperatures.
ice jam flooding,"An accumulation of broken river ice caught in a narrow channel.
Ice jams during freeze-up are quite porous, whereas breakup jams may comprise solid flows, frequently producing local floods during a spring breakup."
ice nuclei,Particles that act as nuclei for the formation of ice crystals in the atmosphere.
ice pellets,See Sleet
ice storm,"A storm characterized by a fall of freezing liquid precipitation.
The attendant formation of glaze on terrestrial objects creates many hazards."
ice-crystal process,"(Commonly called the ice process of precipitation, and formerly, ice- crystal theory; also Bergeron_Findeisen_Wegener process or theory, and with the names in a different order.) A theoretical explanation of the process by which precipitation particles may form within a mixed cloud (composed of both ice crystals and liquid water drops)."
Icelandic low,
indian summer,An unseasonably warm spell with clear skies near the middle of autumn. Usually follows a substantial period of cool weather.
